,0
0,32.81064242473332
1,32.743529433800006
2,32.57537893973334
3,32.789547331966666
4,33.00138182223335
5,33.168740481233314
6,33.6971255772
7,34.00096087180001
8,34.353792921200004
9,34.62065897656667
10,34.54618107236668
11,34.96349555956668
12,35.37930180380002
13,35.82487789499999
14,36.44183319093334
15,37.594623715533324
16,38.567910687833354
17,39.320627772799995
18,40.09190723443333
19,40.320237486566626
20,41.06758790026666
21,41.32445613720003
22,40.90348919230003
23,38.94653844193335
24,38.40501499890001
25,39.00712459316666
26,39.54504829173332
27,39.97249740573332
28,40.190888949233326
29,38.68598296743336
30,38.33852762153331
31,38.85112955586666
32,39.95024569703329
33,40.038699105866655
34,40.46731607433335
35,40.98713259456665
36,40.95108208659998
37,41.06841038426666
38,40.743233157566664
39,40.286136076600044
40,40.24734921846664
41,39.987147105699975
42,39.458222782733294
43,39.08265100703334
44,39.59365134973334
45,40.27470705156665
46,40.613113247633365
47,40.15714650710001
48,39.55018434903334
49,39.69336577279999
50,40.000866694400024
51,40.27866666666665
52,39.95786666666667
53,40.27023333333332
54,41.11419999999999
55,41.03066666666665
56,41.30550000000002
57,41.3936333333333
58,41.35653333333336
59,40.93743333333334
