blockname,code
PPP模式,"['000008', '000010', '000016', '000027', '000040', '000068', '000090', '000157', '000413', '000544', '000598', '000605', '000628', '000633', '000652', '000662', '000711', '000753', '000826', '000885', '000900', '000925', '000961', '000967', '002002', '002034', '002051', '002060', '002062', '002081', '002135', '002140', '002200', '002205', '002236', '002298', '002307', '002310', '002340', '002353', '002374', '002383', '002411', '002421', '002431', '002480', '002524', '002532', '002542', '002551', '002586', '002587', '002596', '002628', '002630', '002663', '002672', '002674', '002717', '002743', '002775', '002822', '002887', '002973', '003013', '300002', '300010', '300020', '300021', '300023', '300030', '300044', '300055', '300056', '300067', '300070', '300075', '300098', '300137', '300139', '300145', '300152', '300165', '300167', '300172', '300187', '300190', '300197', '300198', '300203', '300205', '300210', '300212', '300213', '300237', '300262', '300263', '300266', '300273', '300275', '300284', '300296', '300332', '300334', '300355', '300362', '300374', '300388', '300422', '300495', '300517', '300603', '300692', '300746', '300815', '600008', '600068', '600072', '600100', '600126', '600170', '600187', '600292', '600320', '600323', '600326', '600340', '600461', '600475', '600491', '600499', '600502', '600510', '600512', '600515', '600548', '600562', '600568', '600602', '600610', '600618', '600651', '600654', '600704', '600728', '600797', '600820', '600831', '600853', '600874', '600939', '600963', '601068', '601117', '601186', '601200', '601390', '601789', '603007', '603081', '603316', '603388', '603568', '603588', '603603', '603616', '603636', '603686', '603717', '603778', '603797', '603815', '603817', '603828', '603843', '603903', '603955']"
QFII新进,"['000026', '000030', '000040', '000049', '000159', '000416', '000423', '000555', '000570', '000589', '000609', '000677', '000698', '000702', '000705', '000797', '000835', '000861', '000899', '000932', '000951', '002035', '002043', '002050', '002054', '002103', '002117', '002139', '002151', '002154', '002164', '002184', '002191', '002218', '002281', '002314', '002337', '002351', '002362', '002373', '002391', '002417', '002440', '002461', '002464', '002508', '002531', '002557', '002560', '002576', '002577', '002581', '002592', '002593', '002600', '002613', '002637', '002649', '002655', '002669', '002694', '002732', '002745', '002757', '002786', '002809', '002821', '002825', '002851', '002856', '002865', '002868', '002888', '002903', '002912', '002923', '002932', '002943', '002969', '002979', '002983', '300008', '300016', '300018', '300025', '300030', '300040', '300052', '300059', '300062', '300063', '300064', '300067', '300070', '300091', '300099', '300100', '300101', '300127', '300135', '300151', '300153', '300155', '300157', '300167', '300200', '300205', '300210', '300261', '300263', '300270', '300274', '300283', '300293', '300299', '300301', '300304', '300312', '300313', '300333', '300366', '300368', '300380', '300389', '300392', '300396', '300405', '300428', '300443', '300445', '300446', '300460', '300465', '300471', '300479', '300491', '300493', '300508', '300537', '300561', '300563', '300564', '300567', '300586', '300589', '300591', '300592', '300629', '300639', '300641', '300667', '300708', '300713', '300721', '300732', '300736', '300742', '300797', '300798', '300806', '300818', '300821', '300822', '300823', '300824', '300825', '300828', '300830', '300831', '300832', '300836', '300837', '300838', '300839', '300842', '300843', '300845', '300847', '300848', '300849', '300850', '300852', '300853', '300855', '300857', '300858', '300859', '300862', '300863', '300864', '300865', '300872', '300875', '300878', '300879', '300881', '300888', '600004', '600070', '600113', '600129', '600141', '600178', '600213', '600232', '600299', '600428', '600506', '600515', '600537', '600600', '600623', '600630', '600658', '600689', '600694', '600751', '600800', '600888', '600966', '600983', '600993', '601020', '601155', '601222', '601231', '601566', '601616', '601702', '601872', '601900', '603013', '603015', '603043', '603058', '603066', '603069', '603131', '603155', '603192', '603196', '603198', '603200', '603217', '603238', '603297', '603317', '603320', '603386', '603439', '603444', '603590', '603606', '603615', '603629', '603700', '603721', '603817', '603890', '603897', '603901', '603931', '603950', '603959', '603983', '603988', '603993', '605009', '605188', '605199', '605388', '688001', '688003', '688010', '688016', '688017', '688028', '688055', '688058', '688089', '688098', '688100', '688127', '688138', '688139', '688157', '688158', '688165', '688169', '688177', '688196', '688199', '688229', '688256', '688289', '688299', '688301', '688333', '688335', '688339', '688357', '688366', '688368', '688379', '688389', '688396', '688408', '688466', '688550', '688556', '688558', '688568', '688586', '688596', '688599']"
QFII重仓,"['000089', '000333', '000423', '000538', '000581', '000651', '000786', '000800', '000951', '000998', '000999', '002008', '002032', '002050', '002080', '002081', '002129', '002142', '002271', '002311', '002352', '002353', '002372', '002410', '002439', '002508', '002557', '002572', '002597', '002600', '002648', '002706', '002745', '002821', '002938', '002967', '300003', '300015', '300059', '300070', '300244', '300271', '300274', '300298', '300308', '300326', '300347', '300408', '300450', '300470', '300529', '300642', '300662', '300759', '300763', '300832', '600009', '600019', '600025', '600031', '600066', '600079', '600132', '600183', '600196', '600276', '600298', '600515', '600529', '600585', '600598', '600600', '600645', '600690', '600761', '600885', '600887', '601009', '601100', '601138', '601155', '601169', '601231', '601628', '601668', '601689', '601799', '603160', '603259', '603378', '603444', '603737', '603868', '603883', '603993', '688017', '688023', '688111', '688169', '688363']"
RCS概念,"['000839', '000889', '002123', '002197', '002329', '002396', '002400', '002467', '002512', '002537', '002602', '002622', '002908', '300002', '300047', '300051', '300058', '300085', '300250', '300264', '300287', '300292', '300352', '300399', '300429', '300608', '300634', '300710', '600640', '600728', '601567']"
ST板块,"['000017', '000408', '000409', '000410', '000422', '000504', '000509', '000536', '000571', '000572', '000585', '000587', '000595', '000611', '000662', '000663', '000669', '000670', '000673', '000679', '000687', '000707', '000727', '000737', '000752', '000760', '000780', '000792', '000803', '000806', '000820', '000835', '000837', '000868', '000890', '000953', '000971', '000972', '000980', '000981', '000982', '002005', '002021', '002052', '002071', '002072', '002076', '002077', '002086', '002089', '002102', '002113', '002121', '002122', '002147', '002175', '002176', '002188', '002192', '002200', '002210', '002219', '002247', '002255', '002256', '002259', '002260', '002280', '002289', '002290', '002306', '002319', '002323', '002333', '002336', '002354', '002356', '002359', '002418', '002420', '002426', '002427', '002445', '002447', '002450', '002470', '002473', '002496', '002499', '002501', '002502', '002513', '002529', '002535', '002569', '002575', '002586', '002592', '002629', '002638', '002650', '002656', '002681', '002684', '002692', '002700', '002711', '002716', '002719', '002766', '002770', '002872', '300029', '300064', '300367', '300446', '600080', '600083', '600084', '600086', '600090', '600091', '600112', '600119', '600122', '600145', '600146', '600149', '600157', '600179', '600193', '600209', '600212', '600215', '600225', '600226', '600228', '600234', '600238', '600241', '600242', '600243', '600247', '600255', '600265', '600275', '600280', '600289', '600290', '600301', '600306', '600311', '600319', '600354', '600358', '600365', '600385', '600399', '600408', '600416', '600421', '600423', '600462', '600470', '600485', '600518', '600530', '600539', '600555', '600568', '600595', '600599', '600608', '600610', '600614', '600634', '600651', '600652', '600654', '600666', '600671', '600677', '600696', '600698', '600701', '600702', '600721', '600725', '600734', '600767', '600781', '600815', '600816', '600817', '600821', '600836', '600856', '600860', '600870', '600877', '600891', '600892', '600898', '600978', '601113', '601258', '601399', '601777', '603157', '603188', '603389', '603555', '603779', '603996']"
一带一路,"['000027', '000035', '000042', '000063', '000065', '000088', '000090', '000151', '000157', '000159', '000400', '000415', '000425', '000498', '000507', '000514', '000528', '000557', '000564', '000565', '000582', '000610', '000617', '000635', '000672', '000680', '000703', '000713', '000721', '000777', '000779', '000790', '000797', '000812', '000825', '000837', '000852', '000862', '000877', '000905', '000911', '000928', '000929', '000978', '000982', '001872', '002040', '002047', '002051', '002061', '002063', '002083', '002092', '002130', '002135', '002140', '002146', '002167', '002202', '002204', '002205', '002207', '002266', '002282', '002302', '002307', '002309', '002323', '002342', '002344', '002353', '002365', '002366', '002381', '002438', '002459', '002469', '002475', '002489', '002498', '002520', '002523', '002524', '002534', '002544', '002545', '002554', '002564', '002578', '002593', '002685', '002738', '002742', '002761', '002781', '002800', '002810', '002828', '002937', '002941', '002976', '003816', '300011', '300024', '300065', '300095', '300103', '300139', '300162', '300177', '300183', '300208', '300213', '300232', '300262', '300345', '300351', '300374', '300407', '300435', '300440', '300459', '300523', '300589', '300594', '300629', '300712', '300732', '300789', '300795', '300808', '300809', '300818', '300823', '300865', '600010', '600017', '600018', '600023', '600026', '600028', '600031', '600039', '600057', '600068', '600072', '600075', '600089', '600105', '600118', '600125', '600146', '600150', '600157', '600170', '600176', '600179', '600190', '600202', '600217', '600219', '600248', '600256', '600262', '600279', '600282', '600307', '600312', '600317', '600320', '600338', '600339', '600350', '600354', '600368', '600406', '600415', '600425', '600428', '600436', '600449', '600475', '600477', '600487', '600491', '600495', '600496', '600502', '600509', '600512', '600515', '600522', '600528', '600540', '600545', '600580', '600581', '600583', '600585', '600629', '600691', '600705', '600706', '600710', '600712', '600717', '600720', '600738', '600751', '600755', '600759', '600778', '600785', '600794', '600798', '600801', '600820', '600853', '600869', '600875', '600888', '600928', '600939', '600967', '600969', '600970', '600983', '600984', '601002', '601008', '601018', '601028', '601068', '601106', '601117', '601179', '601186', '601226', '601228', '601298', '601326', '601390', '601399', '601500', '601598', '601608', '601611', '601618', '601668', '601669', '601698', '601727', '601766', '601789', '601800', '601808', '601857', '601865', '601866', '601872', '601880', '601886', '601899', '601919', '601949', '601975', '601985', '601989', '603017', '603018', '603019', '603032', '603036', '603111', '603126', '603169', '603218', '603298', '603308', '603329', '603333', '603338', '603357', '603530', '603556', '603569', '603588', '603619', '603639', '603712', '603815', '603871', '603966', '603969', '603970', '605158', '688022', '688036', '688128', '688585']"
三网融合,"['000156', '000503', '000665', '000682', '000793', '000801', '000851', '000917', '002052', '002089', '002093', '002148', '002183', '002194', '002238', '002268', '002281', '002292', '002313', '002316', '002519', '300017', '300025', '300027', '300079', '300182', '300211', '300250', '300251', '300264', '300555', '300710', '600037', '600088', '600100', '600198', '600203', '600271', '600289', '600373', '600487', '600498', '600522', '600637', '600764', '600804', '600831', '600839', '600996', '601929', '601999', '603322']"
上海自贸,"['000739', '002183', '002210', '002401', '300226', '300240', '300330', '300642', '300899', '300999', '600009', '600018', '600026', '600061', '600097', '600115', '600119', '600151', '600170', '600272', '600278', '600284', '600611', '600621', '600626', '600628', '600630', '600637', '600639', '600643', '600648', '600650', '600655', '600663', '600676', '600679', '600689', '600695', '600708', '600732', '600748', '600754', '600818', '600822', '600826', '600836', '600848', '600895', '601607', '601866', '601872', '603003', '603009', '603128', '603329', '603565', '603648', '603659', '603713', '603918', '688063', '688099', '688118', '688123', '688180', '688336', '688368', '688521']"
上证180,"['600000', '600004', '600009', '600010', '600011', '600016', '600019', '600025', '600028', '600029', '600030', '600031', '600036', '600038', '600048', '600050', '600061', '600066', '600068', '600089', '600104', '600109', '600111', '600115', '600118', '600143', '600150', '600155', '600161', '600176', '600183', '600196', '600201', '600208', '600276', '600298', '600305', '600309', '600332', '600340', '600346', '600352', '600362', '600383', '600406', '600436', '600438', '600487', '600489', '600516', '600519', '600521', '600522', '600536', '600547', '600570', '600584', '600585', '600588', '600598', '600600', '600606', '600621', '600637', '600660', '600690', '600699', '600703', '600705', '600737', '600739', '600741', '600745', '600760', '600763', '600779', '600801', '600809', '600827', '600837', '600859', '600867', '600872', '600886', '600887', '600893', '600895', '600900', '600909', '600918', '600919', '600926', '600958', '600977', '600999', '601006', '601009', '601012', '601021', '601066', '601077', '601088', '601099', '601100', '601108', '601111', '601138', '601155', '601162', '601166', '601169', '601186', '601198', '601211', '601225', '601229', '601236', '601238', '601288', '601318', '601319', '601328', '601336', '601360', '601377', '601390', '601398', '601519', '601555', '601601', '601607', '601618', '601628', '601633', '601658', '601668', '601669', '601688', '601696', '601698', '601766', '601778', '601788', '601800', '601808', '601816', '601818', '601857', '601872', '601877', '601878', '601881', '601888', '601899', '601901', '601916', '601933', '601939', '601985', '601988', '601989', '601990', '603019', '603087', '603160', '603195', '603259', '603288', '603369', '603392', '603501', '603517', '603589', '603659', '603719', '603799', '603833', '603986', '603993', '688012']"
上证380,"['600007', '600008', '600015', '600018', '600020', '600021', '600026', '600027', '600039', '600053', '600056', '600057', '600062', '600070', '600072', '600073', '600079', '600093', '600094', '600120', '600125', '600131', '600132', '600138', '600141', '600153', '600160', '600167', '600170', '600171', '600177', '600180', '600185', '600188', '600197', '600206', '600210', '600211', '600216', '600219', '600223', '600233', '600236', '600252', '600256', '600258', '600260', '600273', '600282', '600284', '600285', '600295', '600299', '600312', '600315', '600323', '600325', '600326', '600329', '600337', '600338', '600348', '600350', '600363', '600368', '600369', '600372', '600373', '600376', '600377', '600378', '600380', '600387', '600388', '600392', '600395', '600409', '600415', '600420', '600422', '600426', '600446', '600452', '600459', '600460', '600466', '600477', '600483', '600486', '600491', '600498', '600502', '600507', '600510', '600511', '600529', '600531', '600548', '600549', '600556', '600557', '600559', '600562', '600563', '600565', '600566', '600567', '600577', '600580', '600582', '600583', '600587', '600596', '600597', '600611', '600612', '600622', '600626', '600639', '600641', '600642', '600643', '600648', '600655', '600657', '600663', '600667', '600668', '600673', '600674', '600675', '600681', '600682', '600685', '600688', '600694', '600704', '600711', '600720', '600728', '600729', '600738', '600740', '600742', '600748', '600750', '600754', '600755', '600756', '600764', '600765', '600776', '600777', '600782', '600787', '600802', '600803', '600808', '600811', '600820', '600823', '600828', '600835', '600845', '600846', '600848', '600850', '600862', '600863', '600874', '600879', '600885', '600897', '600903', '600917', '600933', '600956', '600967', '600968', '600970', '600971', '600973', '600975', '600984', '600985', '600987', '600988', '600989', '600993', '600996', '600998', '601000', '601003', '601016', '601018', '601019', '601058', '601069', '601098', '601117', '601128', '601139', '601158', '601200', '601216', '601222', '601231', '601233', '601298', '601311', '601330', '601333', '601456', '601512', '601567', '601577', '601588', '601598', '601615', '601636', '601666', '601689', '601699', '601717', '601727', '601789', '601799', '601801', '601811', '601827', '601828', '601838', '601858', '601865', '601869', '601949', '601952', '601958', '601966', '601992', '601997', '603000', '603008', '603012', '603018', '603027', '603039', '603043', '603053', '603056', '603060', '603068', '603077', '603108', '603113', '603118', '603121', '603127', '603128', '603129', '603180', '603185', '603197', '603198', '603208', '603218', '603220', '603225', '603228', '603233', '603236', '603258', '603260', '603267', '603279', '603283', '603298', '603301', '603305', '603317', '603327', '603328', '603338', '603345', '603355', '603357', '603360', '603363', '603367', '603368', '603379', '603387', '603393', '603421', '603429', '603444', '603456', '603466', '603486', '603489', '603505', '603508', '603515', '603520', '603533', '603556', '603568', '603583', '603587', '603588', '603590', '603596', '603599', '603600', '603601', '603605', '603606', '603609', '603610', '603613', '603626', '603638', '603639', '603650', '603658', '603666', '603678', '603680', '603681', '603686', '603687', '603690', '603707', '603708', '603711', '603712', '603713', '603728', '603730', '603733', '603737', '603766', '603786', '603801', '603803', '603806', '603808', '603816', '603858', '603866', '603868', '603871', '603876', '603881', '603882', '603883', '603885', '603887', '603888', '603899', '603915', '603916', '603920', '603927', '603939', '603956', '603960', '603982', '603989', '603997', '605108', '605168', '605199', '605222', '688002', '688006', '688008', '688019', '688122', '688139']"
