blockname,code
券商重仓,"['000002', '000090', '000581', '000591', '000599', '000623', '000627', '000799', '000882', '000889', '000923', '002074', '002145', '002214', '002223', '002236', '002250', '002327', '002343', '002358', '002372', '002387', '002390', '002398', '002409', '002415', '002424', '002437', '002465', '002468', '002506', '002557', '002614', '002690', '002698', '002701', '002791', '300038', '300055', '300119', '300142', '300152', '300166', '300226', '300230', '300331', '300369', '300376', '300405', '300450', '300457', '300510', '300684', '300724', '300737', '300896', '600028', '600116', '600131', '600184', '600258', '600260', '600305', '600315', '600318', '600352', '600390', '600392', '600557', '600580', '600597', '600598', '600711', '600845', '600884', '600908', '600919', '601058', '601066', '601088', '601128', '601636', '601666', '601688', '601689', '601799', '601992', '603313', '603338', '603377', '603517', '603533', '603611', '603678', '603712', '603806', '603816', '688030', '688177', '688256']"
区块链,"['000021', '000038', '000040', '000061', '000066', '000158', '000555', '000591', '000599', '000606', '000607', '000638', '000662', '000673', '000676', '000681', '000711', '000793', '000829', '000836', '000851', '000882', '000889', '000971', '000977', '000997', '002010', '002012', '002024', '002044', '002063', '002065', '002103', '002104', '002115', '002117', '002118', '002123', '002131', '002137', '002152', '002168', '002177', '002183', '002191', '002195', '002224', '002229', '002235', '002268', '002279', '002280', '002291', '002296', '002303', '002316', '002331', '002339', '002352', '002369', '002386', '002400', '002401', '002405', '002416', '002421', '002447', '002453', '002464', '002474', '002488', '002517', '002528', '002530', '002537', '002539', '002558', '002575', '002583', '002587', '002610', '002647', '002649', '002656', '002657', '002660', '002663', '002668', '002670', '002707', '002711', '002722', '002740', '002757', '002769', '002797', '002799', '002803', '002808', '002822', '002869', '002987', '300002', '300007', '300018', '300020', '300033', '300038', '300045', '300047', '300052', '300059', '300067', '300075', '300079', '300085', '300089', '300096', '300099', '300130', '300155', '300166', '300168', '300170', '300180', '300188', '300202', '300205', '300208', '300212', '300220', '300235', '300248', '300268', '300271', '300287', '300297', '300299', '300300', '300311', '300324', '300339', '300348', '300352', '300356', '300364', '300368', '300377', '300379', '300383', '300386', '300418', '300427', '300448', '300459', '300465', '300468', '300469', '300477', '300496', '300510', '300525', '300531', '300532', '300541', '300542', '300550', '300551', '300561', '300562', '300579', '300608', '300612', '300634', '300663', '300674', '300675', '300676', '300678', '300682', '300736', '300773', '300872', '600070', '600093', '600208', '600223', '600271', '600446', '600487', '600570', '600571', '600590', '600598', '600633', '600635', '600652', '600704', '600718', '600797', '600804', '600839', '600986', '601107', '601360', '601789', '603000', '603106', '603232', '603366', '603383', '603390', '603636', '603716', '603825', '603888', '603927', '688010', '688012', '688051', '688555', '688579', '688590']"
医废处理,"['000826', '000900', '002140', '002310', '002483', '002496', '002514', '002672', '002973', '300055', '300145', '300187', '300197', '300266', '300385', '300422', '300786', '300815', '600008', '600587', '601330', '603588']"
医美概念,"['000516', '000592', '000615', '000718', '000908', '000919', '000963', '002004', '002038', '002162', '002172', '002566', '002612', '002900', '300238', '300239', '300255', '300632', '300896', '600223', '600420', '688363', '688366']"
半导体50,"['000733', '000925', '002017', '002049', '002079', '002104', '002119', '002129', '002156', '002180', '002185', '002371', '002409', '002413', '002881', '300046', '300053', '300054', '300101', '300139', '300183', '300223', '300236', '300316', '300327', '300373', '300456', '300458', '300474', '300604', '300613', '300623', '300661', '300666', '300671', '300672', '300782', '600171', '600360', '600460', '600584', '600667', '603005', '603068', '603078', '603160', '603501', '603690', '603929', '603986']"
华为概念,"['000004', '000021', '000032', '000034', '000040', '000049', '000050', '000062', '000066', '000070', '000100', '000158', '000413', '000555', '000629', '000636', '000665', '000725', '000800', '000801', '000806', '000810', '000829', '000909', '000917', '000925', '000928', '000948', '000988', '002011', '002036', '002049', '002055', '002056', '002065', '002074', '002079', '002089', '002090', '002104', '002106', '002121', '002123', '002138', '002151', '002152', '002167', '002179', '002182', '002185', '002189', '002194', '002197', '002202', '002213', '002217', '002232', '002241', '002256', '002261', '002268', '002273', '002279', '002281', '002309', '002316', '002341', '002369', '002384', '002387', '002388', '002396', '002402', '002405', '002416', '002426', '002436', '002446', '002456', '002463', '002475', '002484', '002512', '002544', '002547', '002555', '002579', '002585', '002594', '002600', '002622', '002635', '002655', '002660', '002681', '002706', '002751', '002768', '002786', '002792', '002819', '002824', '002837', '002845', '002848', '002855', '002861', '002866', '002878', '002881', '002885', '002886', '002888', '002889', '002897', '002902', '002903', '002916', '002922', '002927', '002929', '002935', '002938', '002947', '002949', '002953', '002955', '002957', '002962', '002965', '002975', '002983', '002992', '002993', '003015', '300007', '300019', '300020', '300025', '300032', '300036', '300041', '300044', '300047', '300057', '300066', '300068', '300074', '300075', '300077', '300079', '300081', '300083', '300085', '300088', '300096', '300097', '300113', '300115', '300128', '300131', '300134', '300136', '300153', '300167', '300168', '300170', '300177', '300182', '300183', '300184', '300207', '300212', '300213', '300218', '300221', '300227', '300231', '300232', '300241', '300249', '300252', '300256', '300259', '300263', '300264', '300270', '300292', '300306', '300310', '300319', '300322', '300328', '300331', '300337', '300339', '300348', '300349', '300351', '300352', '300354', '300366', '300369', '300373', '300378', '300379', '300384', '300386', '300390', '300394', '300397', '300398', '300400', '300408', '300410', '300414', '300433', '300446', '300449', '300456', '300458', '300465', '300466', '300468', '300469', '300490', '300496', '300502', '300520', '300537', '300538', '300541', '300542', '300545', '300548', '300560', '300566', '300578', '300579', '300588', '300598', '300602', '300603', '300607', '300608', '300609', '300621', '300624', '300648', '300650', '300666', '300668', '300674', '300678', '300679', '300684', '300686', '300687', '300691', '300709', '300726', '300731', '300735', '300736', '300742', '300752', '300770', '300778', '300781', '300782', '300806', '300857', '300868', '600035', '600037', '600050', '600070', '600105', '600114', '600152', '600171', '600183', '600203', '600206', '600225', '600237', '600293', '600360', '600363', '600410', '600418', '600458', '600460', '600487', '600496', '600503', '600552', '600601', '600734', '600745', '600804', '600850', '600986', '600996', '601137', '601298', '603005', '603019', '603083', '603133', '603160', '603203', '603228', '603256', '603319', '603322', '603327', '603328', '603330', '603386', '603390', '603496', '603602', '603613', '603700', '603712', '603728', '603738', '603773', '603882', '603887', '603912', '603918', '603956', '688010', '688020', '688058', '688066', '688088', '688127', '688157', '688168', '688286', '688360', '688386', '688559', '688608', '688668']"
博彩概念,"['000665', '000829', '000917', '000981', '002072', '002117', '002152', '002181', '002197', '002229', '002235', '002261', '002264', '002277', '002419', '002605', '002697', '300033', '300052', '300059', '300079', '300579', '300651', '600037', '600138', '600157', '600158', '600433', '600640', '600696', '600770', '600823', '601216', '601519', '603000', '603729']"
卫星导航,"['000058', '000066', '000409', '000547', '000561', '000670', '000801', '000818', '000901', '002003', '002025', '002046', '002052', '002115', '002151', '002191', '002232', '002296', '002357', '002361', '002383', '002402', '002405', '002413', '002446', '002465', '002512', '002535', '002544', '002583', '002669', '002829', '002935', '002977', '300013', '300018', '300036', '300045', '300053', '300075', '300101', '300102', '300123', '300159', '300177', '300212', '300226', '300252', '300287', '300324', '300342', '300447', '300455', '300456', '300516', '300581', '300590', '300627', '300672', '300680', '300762', '300782', '600118', '600130', '600198', '600345', '600435', '600476', '600590', '600614', '600764', '600775', '600877', '600879', '600990', '601698', '603045', '603068', '603131', '603528', '603712', '688066', '688311', '688333', '688568']"
参股新股,"['000009', '000016', '000039', '000046', '000413', '000530', '000541', '000543', '000581', '000712', '000776', '000783', '000811', '000828', '000836', '000959', '002004', '002010', '002030', '002054', '002152', '002169', '002215', '002230', '002340', '002347', '002350', '002404', '002439', '002445', '002466', '002467', '002496', '002553', '002606', '002612', '002684', '002690', '002797', '002831', '300003', '300024', '300039', '300079', '300197', '300199', '300236', '300251', '300364', '300518', '300538', '600064', '600067', '600089', '600106', '600128', '600171', '600183', '600188', '600220', '600266', '600283', '600287', '600352', '600362', '600387', '600389', '600489', '600496', '600521', '600535', '600548', '600549', '600635', '600674', '600704', '600711', '600718', '600729', '600736', '600739', '600805', '600828', '600867', '600918', '600958', '600981', '600998', '601086', '601099', '601162', '601311', '601607', '601717', '601777', '601877', '601878', '603006', '603008', '603019', '603056', '603077', '603810', '603861', '603883', '603901']"
参股金融,"['000009', '000027', '000030', '000031', '000039', '000066', '000069', '000096', '000159', '000402', '000429', '000488', '000514', '000530', '000540', '000541', '000543', '000547', '000551', '000570', '000600', '000623', '000628', '000690', '000700', '000702', '000705', '000711', '000732', '000733', '000793', '000798', '000812', '000828', '000850', '000861', '000877', '000878', '000900', '000919', '000936', '000958', '000996', '002020', '002021', '002054', '002056', '002064', '002093', '002116', '002154', '002177', '002195', '002203', '002233', '002269', '002286', '002322', '002357', '002392', '002412', '002444', '002489', '002540', '002543', '002571', '002572', '002608', '002653', '002657', '002697', '300049', '300070', '300085', '300096', '300175', '300231', '300235', '600023', '600039', '600054', '600056', '600057', '600064', '600068', '600079', '600100', '600107', '600108', '600113', '600115', '600121', '600128', '600129', '600136', '600156', '600165', '600170', '600190', '600191', '600208', '600248', '600249', '600252', '600266', '600269', '600278', '600287', '600292', '600332', '600336', '600339', '600350', '600352', '600380', '600415', '600475', '600483', '600500', '600503', '600505', '600510', '600512', '600515', '600517', '600522', '600528', '600548', '600551', '600565', '600571', '600592', '600611', '600612', '600618', '600638', '600639', '600642', '600644', '600648', '600649', '600650', '600663', '600675', '600682', '600704', '600713', '600716', '600718', '600735', '600742', '600750', '600754', '600755', '600784', '600790', '600795', '600802', '600811', '600815', '600823', '600826', '600827', '600828', '600833', '600838', '600851', '600868', '600873', '600881', '600884', '600889', '600896', '600981', '600985', '601018', '601107', '601155', '601177', '601216', '601339', '601567', '601618', '601678', '601700', '601789', '601890', '601999', '603059', '603116', '603165', '603225', '603319', '603333', '603366', '603696', '603733', '603823', '603828', '603878', '603896', '603995', '603999']"
口罩防护,"['000078', '000158', '000420', '000615', '000650', '000652', '000726', '000779', '000819', '000821', '000850', '000881', '000908', '000911', '000928', '000949', '000955', '000963', '000973', '000999', '002003', '002006', '002008', '002026', '002080', '002082', '002087', '002131', '002154', '002158', '002165', '002172', '002221', '002223', '002246', '002283', '002293', '002324', '002341', '002382', '002397', '002407', '002411', '002444', '002453', '002486', '002503', '002511', '002551', '002594', '002603', '002612', '002614', '002648', '002665', '002676', '002685', '002687', '002747', '002757', '002763', '002768', '002776', '002780', '002781', '002786', '002825', '002836', '002838', '002886', '002950', '002979', '003023', '300021', '300024', '300030', '300097', '300100', '300110', '300132', '300151', '300161', '300180', '300195', '300199', '300222', '300247', '300260', '300273', '300281', '300296', '300340', '300390', '300410', '300453', '300457', '300461', '300476', '300503', '300539', '300568', '300586', '300606', '300607', '300635', '300644', '300658', '300677', '300716', '300815', '300819', '300840', '300888', '300890', '600143', '600152', '600156', '600185', '600232', '600302', '600400', '600448', '600527', '600579', '600603', '600626', '600710', '600810', '600868', '600981', '600989', '601515', '601718', '603011', '603301', '603303', '603311', '603518', '603601', '603733', '603877', '603880', '603901', '603915', '605009', '688026', '688358']"
可燃冰,"['000039', '000554', '000852', '002140', '002207', '002221', '002278', '002342', '002353', '002554', '300084', '300157', '300164', '300191', '300228', '300309', '600098', '600282', '600378', '600583', '600871', '601168', '601808', '603727']"
台资背景,"['002047', '002084', '002105', '002158', '002162', '002333', '002463', '002655', '002938', '300260', '300378', '300549', '300671', '601002', '601138', '601231', '601388', '603002', '603015', '603408', '603580', '603886', '603922', '603929', '603958', '605366', '688585', '688678']"
含B股,"['000011', '000012', '000016', '000017', '000019', '000020', '000025', '000026', '000028', '000029', '000030', '000037', '000045', '000055', '000056', '000058', '000413', '000429', '000488', '000505', '000521', '000530', '000539', '000541', '000550', '000553', '000570', '000581', '000596', '000613', '000625', '000725', '000726', '000761', '000869', '001872', '600054', '600094', '600190', '600221', '600272', '600295', '600320', '600555', '600602', '600604', '600610', '600611', '600612', '600613', '600614', '600617', '600618', '600619', '600623', '600639', '600648', '600650', '600663', '600679', '600689', '600695', '600698', '600726', '600751', '600754', '600776', '600801', '600818', '600819', '600822', '600827', '600835', '600841', '600843', '600844', '600845', '600848', '600851']"
含GDR,"['600886', '600900', '601601', '601688']"
含H股,"['003816', '601828', '600958', '601939', '601866', '002910', '601336', '601068', '000063', '300759', '601808', '600028', '601880', '601991', '601598', '601788', '002490', '601658', '601588', '601328', '601898', '688180', '601628', '601111', '601811', '601601', '688185', '601881', '600011', '601919', '601005', '601298', '688009', '688505', '601238', '600012', '000157', '600030', '601869', '601398', '601038', '601818', '601727', '601633', '600660', '002399', '000039', '601857', '601390', '000585', '600956', '600874', '601330', '601865', '002594', '600196', '000921', '601318', '000898', '603259', '600876', '601333', '601077', '000166', '000756', '601988', '002948', '600600', '600115', '600999', '600871', '601600', '600688', '601088', '601717', '601186', '002672', '600635', '600016', '600362', '002936', '600585', '601899', '603993', '600029', '600837', '002703', '601456', '000002', '600685', '601319', '300347', '600036', '600548', '601066', '000488', '000776', '600026', '688981', '600875', '600808', '000513', '600860', '600377', '601607', '600188', '601375', '601107', '601211', '601800', '002202', '601998', '600775', '601992', '000338', '601288', '600332', '002460', '603157', '601326', '688366', '600547', '601618', '601766', '601688', '600027', '601916', '605198', '601995', '600690', '601963']"
含可转债,"['000060', '000065', '000070', '000401', '000411', '000552', '000623', '000665', '000688', '000700', '000703', '000726', '000761', '000783', '000789', '000810', '000823', '000861', '000876', '000887', '000932', '000967', '001965', '002002', '002008', '002022', '002034', '002036', '002061', '002067', '002078', '002083', '002100', '002157', '002171', '002174', '002203', '002224', '002228', '002241', '002245', '002258', '002279', '002284', '002287', '002325', '002360', '002368', '002370', '002376', '002382', '002406', '002408', '002436', '002444', '002446', '002455', '002460', '002472', '002475', '002496', '002497', '002503', '002510', '002527', '002538', '002541', '002542', '002548', '002551', '002557', '002562', '002597', '002614', '002615', '002616', '002631', '002649', '002658', '002701', '002707', '002717', '002722', '002726', '002728', '002738', '002741', '002749', '002753', '002756', '002758', '002772', '002775', '002783', '002787', '002806', '002807', '002811', '002812', '002815', '002823', '002832', '002838', '002839', '002840', '002842', '002846', '002859', '002860', '002861', '002863', '002865', '002873', '002877', '002907', '002921', '002929', '002930', '002931', '002941', '002946', '002949', '002958', '002961', '002965', '002973', '300016', '300021', '300031', '300040', '300057', '300065', '300088', '300138', '300170', '300190', '300196', '300197', '300207', '300231', '300246', '300265', '300296', '300297', '300298', '300303', '300332', '300335', '300381', '300382', '300388', '300398', '300407', '300409', '300416', '300422', '300424', '300427', '300429', '300437', '300438', '300473', '300482', '300487', '300499', '300505', '300511', '300517', '300527', '300532', '300539', '300545', '300554', '300567', '300569', '300577', '300580', '300586', '300587', '300608', '300618', '300619', '300631', '300636', '300645', '300652', '300655', '300657', '300665', '300677', '300682', '300687', '300700', '300707', '300709', '300729', '300739', '300748', '300752', '300772', '600000', '600029', '600061', '600105', '600197', '600231', '600271', '600297', '600323', '600326', '600388', '600398', '600420', '600461', '600483', '600487', '600498', '600521', '600522', '600566', '600567', '600577', '600674', '600711', '600755', '600831', '600863', '600908', '600909', '600919', '600929', '600939', '600985', '600996', '600998', '601006', '601012', '601020', '601108', '601127', '601211', '601222', '601233', '601238', '601311', '601366', '601515', '601611', '601615', '601619', '601677', '601678', '601727', '601789', '601799', '601818', '601860', '601865', '601899', '601929', '601985', '601998', '603007', '603030', '603035', '603039', '603055', '603081', '603089', '603098', '603108', '603113', '603131', '603136', '603165', '603179', '603185', '603187', '603225', '603228', '603233', '603278', '603320', '603323', '603331', '603336', '603345', '603348', '603368', '603377', '603499', '603501', '603516', '603518', '603528', '603557', '603568', '603569', '603578', '603579', '603602', '603606', '603608', '603617', '603618', '603660', '603663', '603665', '603667', '603669', '603677', '603678', '603679', '603681', '603687', '603688', '603690', '603707', '603708', '603716', '603776', '603797', '603806', '603817', '603822', '603833', '603861', '603871', '603876', '603887', '603890', '603896', '603897', '603898', '603901', '603912', '603939', '603956', '603966', '603978', '603979', '603989']"
员工持股,"['000301', '000523', '000524', '000525', '000534', '000560', '000597', '000630', '000651', '000656', '000671', '000672', '000690', '000710', '000756', '000813', '000826', '000858', '000876', '000925', '000948', '000967', '000989', '002001', '002014', '002020', '002027', '002030', '002043', '002047', '002049', '002053', '002073', '002074', '002099', '002100', '002123', '002126', '002127', '002145', '002152', '002156', '002161', '002167', '002171', '002174', '002196', '002200', '002209', '002233', '002237', '002241', '002245', '002264', '002273', '002286', '002294', '002301', '002321', '002334', '002341', '002345', '002350', '002353', '002364', '002365', '002367', '002392', '002405', '002411', '002414', '002434', '002439', '002456', '002457', '002461', '002470', '002472', '002489', '002502', '002517', '002519', '002531', '002535', '002542', '002550', '002555', '002557', '002563', '002567', '002578', '002583', '002592', '002597', '002609', '002612', '002624', '002639', '002651', '002655', '002661', '002669', '002682', '002706', '002714', '002719', '002727', '002732', '002752', '002772', '002777', '002791', '002803', '002831', '002833', '002877', '002880', '002913', '300001', '300009', '300031', '300036', '300041', '300050', '300056', '300087', '300095', '300097', '300098', '300114', '300115', '300117', '300125', '300158', '300179', '300193', '300194', '300199', '300200', '300207', '300221', '300223', '300224', '300241', '300250', '300251', '300252', '300265', '300267', '300269', '300284', '300286', '300290', '300305', '300309', '300311', '300315', '300347', '300368', '300371', '300379', '300382', '300393', '300400', '300416', '300447', '300451', '300465', '300466', '300467', '300477', '300486', '300525', '300565', '300577', '300596', '300607', '300616', '300650', '300657', '300672', '300676', '300679', '300724', '300738', '300766', '600030', '600031', '600036', '600055', '600080', '600094', '600129', '600155', '600166', '600170', '600219', '600222', '600256', '600267', '600273', '600318', '600330', '600346', '600352', '600353', '600366', '600375', '600388', '600405', '600468', '600469', '600475', '600499', '600502', '600518', '600567', '600570', '600580', '600603', '600655', '600667', '600703', '600713', '600731', '600801', '600804', '600858', '600867', '600868', '600958', '600963', '600986', '600988', '600998', '600999', '601005', '601021', '601116', '601126', '601137', '601231', '601388', '601636', '601717', '601789', '601877', '601899', '603018', '603056', '603077', '603160', '603179', '603181', '603233', '603260', '603337', '603365', '603377', '603378', '603386', '603558', '603590', '603610', '603626', '603686', '603688', '603699', '603716', '603737', '603806', '603819', '603866', '603885', '603919', '688003']"
商誉减值,"['000090', '000802', '002048', '002082', '002103', '002316', '002317', '002360', '002558', '002639', '300048', '300131', '300148', '300164', '300178', '300201', '300276', '300282', '300317', '300434', '300448', '300456', '300526', '300583', '600535', '600613', '600804', '600988', '601857', '601900', '601939', '603518']"
国产软件,"['000066', '000158', '000555', '000662', '000909', '000977', '002063', '002065', '002153', '002195', '002232', '002279', '002280', '002298', '002368', '002417', '002453', '002474', '002622', '002657', '002777', '002869', '002912', '003029', '300036', '300085', '300168', '300177', '300182', '300235', '300253', '300271', '300290', '300302', '300311', '300339', '300352', '300378', '300379', '300380', '300386', '300465', '300468', '300469', '300525', '300541', '300542', '300559', '300579', '300594', '300605', '300624', '300659', '300663', '300674', '300682', '300687', '300762', '300810', '300830', '300895', '600355', '600410', '600446', '600455', '600476', '600536', '600571', '600588', '600589', '600718', '600756', '600797', '600845', '603025', '603039', '603189', '603232', '603383', '603496', '603613', '603636', '603927', '688004', '688058', '688066', '688078', '688095', '688111', '688118', '688160', '688228', '688258', '688365', '688369', '688555', '688561', '688568', '688579', '688590', '688618', '688777']"
国开持股,"['000301', '000505', '000710', '000767', '001979', '002309', '300070', '300831', '600463', '600490', '600521', '600545', '600821', '601016', '603259', '603882', '688012', '688133']"
国证价值,"['000002', '000012', '000027', '000028', '000031', '000039', '000046', '000060', '000069', '000090', '000156', '000157', '000301', '000333', '000338', '000401', '000402', '000425', '000488', '000513', '000517', '000528', '000537', '000540', '000560', '000581', '000582', '000591', '000598', '000600', '000617', '000623', '000627', '000630', '000656', '000671', '000672', '000683', '000685', '000686', '000690', '000703', '000708', '000709', '000717', '000718', '000728', '000776', '000778', '000783', '000785', '000825', '000830', '000869', '000877', '000883', '000887', '000898', '000902', '000921', '000932', '000933', '000937', '000951', '000959', '000961', '000967', '000983', '000990', '000999', '001872', '001965', '001979', '002002', '002004', '002010', '002020', '002042', '002048', '002051', '002078', '002080', '002081', '002091', '002092', '002110', '002128', '002146', '002202', '002233', '002244', '002251', '002299', '002372', '002419', '002423', '002440', '002458', '002563', '002572', '002597', '002601', '002701', '002737', '002807', '002839', '002911', '002936', '002948', '002958', '003816', '300038', '300070', '300118', '300498', '300741', '300761', '600000', '600007', '600008', '600011', '600015', '600016', '600017', '600019', '600021', '600022', '600023', '600025', '600026', '600027', '600028', '600036', '600037', '600039', '600048', '600050', '600056', '600060', '600062', '600064', '600066', '600068', '600089', '600094', '600104', '600115', '600126', '600141', '600153', '600166', '600170', '600176', '600177', '600188', '600208', '600216', '600219', '600252', '600256', '600266', '600273', '600277', '600282', '600297', '600307', '600309', '600312', '600325', '600338', '600339', '600340', '600348', '600350', '600362', '600373', '600376', '600377', '600380', '600383', '600390', '600395', '600398', '600409', '600426', '600466', '600477', '600491', '600497', '600500', '600507', '600511', '600516', '600522', '600528', '600566', '600567', '600575', '600582', '600585', '600598', '600606', '600612', '600623', '600637', '600639', '600642', '600643', '600655', '600657', '600660', '600663', '600674', '600675', '600688', '600704', '600705', '600707', '600717', '600729', '600739', '600740', '600741', '600748', '600751', '600754', '600755', '600782', '600795', '600801', '600803', '600808', '600811', '600820', '600823', '600827', '600835', '600839', '600863', '600873', '600875', '600881', '600886', '600900', '600901', '600908', '600919', '600926', '600928', '600959', '600968', '600970', '600977', '600985', '601000', '601003', '601005', '601006', '601009', '601016', '601077', '601088', '601098', '601108', '601111', '601117', '601128', '601139', '601155', '601163', '601169', '601186', '601216', '601222', '601225', '601229', '601233', '601288', '601298', '601311', '601318', '601328', '601333', '601336', '601390', '601398', '601598', '601600', '601601', '601607', '601618', '601628', '601633', '601636', '601658', '601666', '601668', '601669', '601699', '601717', '601800', '601801', '601808', '601818', '601828', '601838', '601857', '601860', '601866', '601872', '601880', '601898', '601916', '601919', '601928', '601939', '601952', '601958', '601966', '601985', '601988', '601991', '601992', '601997', '601998', '603156', '603198', '603225', '603323', '603587', '603589', '603858']"
国证农业,"['000568', '000596', '000729', '000858', '000860', '000876', '000895', '000930', '000998', '002157', '002299', '002304', '002311', '002385', '002387', '002458', '002461', '002507', '002557', '002568', '002714', '300146', '300498', '300761', '300783', '600132', '600298', '600299', '600426', '600438', '600486', '600519', '600597', '600598', '600600', '600737', '600779', '600809', '600811', '600872', '600873', '600887', '601118', '603198', '603288', '603345', '603369', '603517', '603589', '603866']"
国证基建,"['000401', '000883', '000961', '001872', '001965', '002081', '002607', '003816', '300015', '300628', '600004', '600008', '600009', '600011', '600018', '600023', '600025', '600027', '600050', '600068', '600167', '600170', '600236', '600256', '600350', '600377', '600528', '600583', '600642', '600674', '600763', '600795', '600820', '600886', '600900', '601006', '601018', '601117', '601186', '601228', '601390', '601611', '601618', '601668', '601669', '601800', '601808', '601985', '601991', '603882']"
国证大宗,"['000060', '000553', '000629', '000630', '000688', '000703', '000708', '000709', '000723', '000778', '000807', '000825', '000830', '000860', '000876', '000878', '000898', '000930', '000937', '000959', '000960', '000983', '000998', '002064', '002078', '002080', '002092', '002110', '002124', '002128', '002155', '002157', '002221', '002250', '002299', '002311', '002340', '002385', '002408', '002409', '002458', '002648', '002683', '002709', '002812', '300073', '300459', '300498', '300618', '600010', '600019', '600022', '600028', '600111', '600126', '600143', '600188', '600219', '600256', '600309', '600348', '600362', '600392', '600409', '600426', '600438', '600486', '600489', '600497', '600547', '600549', '600567', '600598', '600642', '600673', '600688', '600808', '600871', '600989', '601003', '601005', '601088', '601118', '601168', '601212', '601216', '601225', '601233', '601600', '601699', '601857', '601898', '601899', '601958', '603077', '603379', '603650', '603737', '603799', '603993']"
国证成长,"['000008', '000016', '000034', '000035', '000039', '000062', '000078', '000090', '000157', '000333', '000338', '000401', '000403', '000425', '000517', '000528', '000537', '000560', '000568', '000627', '000629', '000651', '000656', '000661', '000671', '000672', '000681', '000690', '000703', '000708', '000717', '000723', '000785', '000830', '000831', '000858', '000877', '000898', '000921', '000932', '000935', '000951', '000959', '000961', '000967', '000975', '000977', '000990', '001872', '002002', '002007', '002010', '002024', '002032', '002035', '002048', '002064', '002075', '002110', '002120', '002127', '002129', '002138', '002146', '002153', '002155', '002157', '002174', '002179', '002180', '002212', '002230', '002233', '002236', '002244', '002271', '002294', '002299', '002302', '002310', '002340', '002353', '002372', '002382', '002384', '002387', '002389', '002399', '002408', '002409', '002415', '002430', '002434', '002439', '002440', '002458', '002460', '002463', '002468', '002475', '002503', '002507', '002511', '002541', '002555', '002568', '002572', '002583', '002589', '002595', '002597', '002600', '002601', '002602', '002607', '002624', '002626', '002635', '002648', '002653', '002677', '002709', '002714', '002745', '002755', '002821', '002831', '002841', '002867', '002901', '002912', '002916', '002925', '002941', '002959', '002985', '300001', '300003', '300012', '300014', '300015', '300036', '300038', '300058', '300073', '300118', '300122', '300136', '300144', '300146', '300207', '300212', '300223', '300236', '300244', '300271', '300285', '300294', '300308', '300316', '300324', '300346', '300347', '300348', '300357', '300383', '300418', '300433', '300450', '300451', '300454', '300463', '300476', '300482', '300498', '300502', '300529', '300567', '300595', '300601', '300602', '300616', '300618', '300628', '300630', '300682', '300685', '300699', '300702', '300724', '300725', '300747', '300750', '300751', '300759', '300760', '300761', '300766', '300768', '300770', '300773', '300782', '300815', '600010', '600025', '600031', '600093', '600094', '600111', '600132', '600155', '600160', '600161', '600171', '600188', '600256', '600258', '600282', '600307', '600309', '600325', '600330', '600332', '600338', '600340', '600346', '600348', '600380', '600392', '600395', '600426', '600436', '600466', '600477', '600486', '600487', '600507', '600516', '600519', '600521', '600549', '600567', '600570', '600585', '600588', '600645', '600657', '600667', '600673', '600675', '600699', '600711', '600728', '600732', '600733', '600737', '600740', '600745', '600751', '600755', '600763', '600779', '600782', '600801', '600803', '600809', '600871', '600881', '600984', '601003', '601005', '601012', '601021', '601069', '601100', '601155', '601225', '601233', '601311', '601377', '601636', '601717', '601808', '601888', '601919', '601997', '603019', '603039', '603077', '603103', '603127', '603160', '603195', '603225', '603236', '603259', '603260', '603288', '603290', '603305', '603337', '603338', '603369', '603379', '603444', '603486', '603489', '603501', '603508', '603568', '603587', '603589', '603605', '603613', '603638', '603650', '603658', '603659', '603707', '603713', '603719', '603737', '603799', '603816', '603833', '603868', '603888', '603899', '603939', '603983', '603986', '603993']"
国证服务,"['000027', '000035', '000088', '000089', '000156', '000539', '000543', '000582', '000591', '000598', '000600', '000685', '000690', '000826', '000839', '000883', '000930', '000958', '001965', '002183', '002320', '002607', '002928', '003816', '300015', '300070', '300244', '300251', '300347', '300770', '600004', '600008', '600009', '600011', '600017', '600018', '600021', '600025', '600026', '600027', '600029', '600037', '600050', '600057', '600115', '600116', '600131', '600167', '600221', '600236', '600317', '600323', '600350', '600373', '600377', '600483', '600548', '600575', '600635', '600637', '600640', '600642', '600674', '600681', '600704', '600717', '600763', '600787', '600795', '600803', '600863', '600864', '600886', '600900', '600903', '600959', '601000', '601006', '601016', '601018', '601098', '601111', '601139', '601228', '601298', '601326', '601333', '601598', '601801', '601816', '601866', '601872', '601880', '601919', '601928', '601985', '601991', '603298', '603882', '603885']"
